考核,20,0.043010752688172046
录入,17,0.03655913978494624
管理,15,0.03225806451612903
确认,14,0.030107526881720432
企业,13,0.02795698924731183
潍坊市,11,0.023655913978494623
信用,11,0.023655913978494623
建局,11,0.023655913978494623
业绩,10,0.021505376344086023
建筑,9,0.01935483870967742
不良行为,9,0.01935483870967742
从业人员,8,0.017204301075268817
机构,8,0.017204301075268817
市住,7,0.015053763440860216
县市区,6,0.012903225806451613
代理,6,0.012903225806451613
全市,6,0.012903225806451613
市直,6,0.012903225806451613
市场,6,0.012903225806451613
招标,6,0.012903225806451613
