旅游,108,0.0766501064584812
旅行社,60,0.042583392476934
旅游者,42,0.029808374733853796
业务,35,0.0248403122782115
导游,34,0.0241305890702626
主管部门,29,0.0205819730305181
经营,28,0.0198722498225692
罚款,27,0.0191625266146203
责令,25,0.017743080198722498
领队,24,0.017033356990773598
吊销,20,0.014194464158977998
活动,20,0.014194464158977998
抽查,19,0.0134847409510291
领队证,19,0.0134847409510291
安排,19,0.0134847409510291
导游证,18,0.0127750177430802
许可证,18,0.0127750177430802
监管,17,0.0120652945351313
违法,16,0.0113555713271824
比例,16,0.0113555713271824
