平台,19,0.06934306569343066
建设,8,0.029197080291970802
系统,7,0.025547445255474453
数据,7,0.025547445255474453
住房,6,0.021897810218978103
城乡,6,0.021897810218978103
辽宁省,4,0.014598540145985401
管理系统,4,0.014598540145985401
建筑,4,0.014598540145985401
质量,4,0.014598540145985401
施工图,4,0.014598540145985401
监督,4,0.014598540145985401
运行,4,0.014598540145985401
审查,4,0.014598540145985401
对接,4,0.014598540145985401
施工,4,0.014598540145985401
竣工,4,0.014598540145985401
手续,4,0.014598540145985401
12,3,0.010948905109489052
企业,3,0.010948905109489052
