房地产,21,0.050970873786407765
销售,11,0.02669902912621359
企业,11,0.02669902912621359
开发,11,0.02669902912621359
主管部门,10,0.024271844660194174
建设,8,0.019417475728155338
杭州市,8,0.019417475728155338
房产,8,0.019417475728155338
行政,7,0.01699029126213592
商品房,7,0.01699029126213592
市场,7,0.01699029126213592
广告,7,0.01699029126213592
违法,6,0.014563106796116505
市场监管,6,0.014563106796116505
经营,6,0.014563106796116505
信息,4,0.009708737864077669
管理局,4,0.009708737864077669
预售,4,0.009708737864077669
违规行为,4,0.009708737864077669
物价,4,0.009708737864077669
