执法,14,0.07253886010362694
文书,14,0.07253886010362694
质量,13,0.06735751295336788
市场,13,0.06735751295336788
行政,11,0.05699481865284974
监督管理,9,0.046632124352331605
法制办,8,0.04145077720207254
江西省,8,0.04145077720207254
监管局,6,0.031088082901554404
食品药品,5,0.025906735751295335
质监局,4,0.02072538860103627
省政府,4,0.02072538860103627
监督,4,0.02072538860103627
全省,3,0.015544041450777202
规范,3,0.015544041450777202
工商局,3,0.015544041450777202
统一,3,0.015544041450777202
江西省政府,2,0.010362694300518135
评查,2,0.010362694300518135
总局,2,0.010362694300518135
